id,owner_id,locality,city,sqftsuper,type,totalrooms,status,latitude,longitude,gender,tag_as,rent
159,1472,1st main Pai Layout,bengaluru,1200,flat,2,available,12.9943483,77.6647594,2,marketplace,30000
142,1367,Amanora,pune,1700,flat,3,blocked,18.513934,73.940142,1,marketplace,40000
192,1367,Amanora,pune,1600,flat,3,blocked,18.31018,73.565,2,marketplace,41000
200,1688,Amanora,pune,1200,flat,3,available,18.518541,73.948022,1,marketplace,32000
208,1731,Amanora,pune,1000,flat,6,blocked,18.511779,73.938171,1,marketplace,34000
313,2870,Amruthahalli,bengaluru,1720,flat,3,available,13.0665509,77.5957702,0,marketplace,40000
314,2870,Amruthahalli,bengaluru,1720,flat,3,available,13.0665509,77.5957702,0,marketplace,40000
21,120,Ashok Nagar,pune,1100,flat,2,blocked,19.198124,72.854266,0,managed,49800
123,1192,Aundh,pune,1389,flat,3,partial,18.564511,73.800475,2,managed,29000
252,2133,B.T Kawde road,pune,550,flat,1,blocked,18.52037,73.906735,0,marketplace,19000
80,910,Bannerghatta Road,bengaluru,1300,flat,2,occupied,12.86501,77.592802,0,marketplace,28000
44,120,Bannerghatta Road,bengaluru,2078,flat,3,blocked,12.875207,77.60985,1,managed,40700
65,819,Bannerghatta Road,bengaluru,2000,flat,3,blocked,12.874537,77.609565,0,managed,36000
104,1063,Bannerghatta Road,bengaluru,1588,flat,3,available,12.898803,77.604945,0,marketplace,31000
136,1311,Bannerghatta Road,bengaluru,1800,flat,3,partial,12.887641,77.597371,1,marketplace,45000
289,2617,Bannerghatta Road,bengaluru,1750,flat,3,blocked,12.8755992,77.6102083,0,marketplace,45000
294,2645,Bannerghatta Road,bengaluru,2000,flat,3,occupied,12.8715634,77.5920763,0,managed,34000
214,1758,Basapura,bengaluru,1000,flat,2,occupied,12.864987,77.652149,2,marketplace,24000
248,2071,Behind Inorbit mall,pune,1020,flat,2,occupied,18.558381,73.919966,0,managed,21000
5,352,Bellandur,bengaluru,510,flat,3,available,12.916868,77.690241,1,managed,40793
55,301,Bellandur,bengaluru,1678,flat,3,occupied,12.917103,77.68997,1,marketplace,35000
76,828,Bellandur,bengaluru,1650,flat,3,blocked,12.926916,77.672716,1,marketplace,35000
100,1052,Bellandur,bengaluru,1474,flat,3,blocked,12.92725,77.67161,2,marketplace,35000
102,1053,Bellandur,bengaluru,2275,flat,3,blocked,12.9227169,77.6698289,1,marketplace,53700
117,798,Bellandur,bengaluru,1810,flat,3,partial,12.9223732,77.6697387,1,marketplace,44000
201,1695,Bellandur,bengaluru,2520,flat,3,available,12.9205264,77.6937651,1,marketplace,48000
203,1700,Bellandur,bengaluru,1720,flat,3,partial,12.9205264,77.6937651,1,marketplace,46000
204,1703,Bellandur,bengaluru,1700,flat,3,occupied,12.9170451,77.6954451,0,marketplace,39000
233,1542,Bellandur,bengaluru,1640,flat,3,available,12.9205316,77.6937651,1,managed,39000
6,805,Bellandur,bengaluru,2400,flat,4,occupied,12.918846,77.689174,1,managed,51000
99,1052,Bellandur,bengaluru,1874,flat,4,available,12.92725,77.67161,2,marketplace,48000
202,1698,Bellandur,bengaluru,2500,flat,4,blocked,12.9227169,77.6698289,0,marketplace,70000
140,1353,"Bilekahalli, Bangalore",bengaluru,1580,flat,3,blocked,12.893459,77.61791,0,managed,41000
39,120,Bommanahalli,bengaluru,1564,flat,2,blocked,12.905403,77.627974,0,managed,36000
293,2641,Brookefield,bengaluru,1200,flat,3,available,12.9657069,77.7215251,2,marketplace,46200
301,2770,Brookefield,bengaluru,2527,villa,4,available,12.8995119,77.7041704,1,marketplace,50000
302,2771,Brookefield,bengaluru,2527,villa,4,available,12.8995119,77.7041704,2,marketplace,50000
88,948,C V Raman Nagar,bengaluru,1340,flat,3,blocked,12.98141,77.667063,0,marketplace,38000
57,587,Chokkanahalli,bengaluru,1241,flat,3,blocked,13.081106,77.625247,0,marketplace,30000
251,2132,Devanahalli,bengaluru,1200,flat,2,blocked,13.231502,77.7019937,0,marketplace,20000
7,798,Devanahalli,bengaluru,3755,flat,4,occupied,13.204987,77.639311,1,managed,30900
29,347,Dundahera,noida_ghaziabad,1029,flat,3,partial,28.628851,77.436819,1,managed,12580
35,803,Electronic City,bengaluru,925,flat,2,available,12.78411,77.657984,1,marketplace,29700
284,2564,Electronic City,bengaluru,1090,flat,2,occupied,12.8268197,77.690406,1,managed,13100
20,1058,Electronic City,bengaluru,2050,villa,3,blocked,12.830007,77.708026,0,marketplace,20000
33,878,Electronic City,bengaluru,1230,flat,3,blocked,12.78411,77.657984,2,marketplace,29700
34,878,Electronic City,bengaluru,1230,flat,3,blocked,12.78411,77.657984,0,marketplace,29700
66,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
67,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
68,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
69,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
70,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
71,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
72,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
73,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
74,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
75,827,Electronic City,bengaluru,1800,flat,3,blocked,12.838127,77.673622,0,marketplace,54000
175,1510,Electronic City,bengaluru,1500,flat,3,blocked,12.829268,77.662317,0,marketplace,21000
249,2129,Electronic City,bengaluru,1449,flat,3,occupied,12.8535131,77.650247,0,managed,23220
266,2359,Electronic City,bengaluru,1550,flat,3,blocked,12.8361003,77.6729773,0,marketplace,33000
288,2616,Electronic City,bengaluru,1342,flat,3,available,12.8322016,77.6610866,0,marketplace,25000
304,2772,Electronic City,bengaluru,1200,flat,3,available,12.8995119,77.7041704,2,marketplace,25000
317,2895,Electronic City,bengaluru,1028,flat,3,available,12.8535131,77.650247,0,marketplace,25000
261,804,Gunjur Village,bengaluru,1216,flat,2,available,12.9299576,77.7401083,0,marketplace,30000
262,2341,Gunjur Village,bengaluru,1216,flat,2,available,12.9299576,77.7401083,0,marketplace,30000
